0,1,2,3,4,5
Bracket Type=4,,,,,
Sample Type,File Name,Path,Instrument Method,Position,Inj Vol
Unknown,GW0711_Preblank1,lcdatapath,lcmethodpath\ChannelA_flush_1min_1ul,GC9,1
Unknown,GW0711_Preblank2,lcdatapath,lcmethodpath\ChannelB_flush_1min_1ul,RA1,1
Unknown,GW0711_lib_Lib1_GC9_rep1_ch1_dry,lcdatapath,lcmethodpath\ChannelA_flush_1min_1ul,RC8,1
Unknown,GW0711_TrueBlank_end_RA1_rep1_ch2_dry,lcdatapath,lcmethodpath\ChannelB_flush_1min_1ul,RA1,1
Unknown,GW0711_lib_Lib1_RC8_rep1_ch1_dry,lcdatapath,lcmethodpath\ChannelA_flush_1min_1ul,RC14,1
Unknown,GW0711_TrueBlank_end_RA1_rep2_ch2_dry,lcdatapath,lcmethodpath\ChannelB_flush_1min_1ul,RA1,1
Unknown,GW0711_lib_Lib1_RC14_rep2_ch1_dry,lcdatapath,lcmethodpath\ChannelA_flush_1min_1ul,BC8,1
Unknown,GW0711_TrueBlank_end_RA1_rep3_ch2_dry,lcdatapath,lcmethodpath\ChannelB_flush_1min_1ul,RA1,1
Unknown,GW0711_lib_Lib1_BC8_rep3_ch1_dry,lcdatapath,lcmethodpath\ChannelA_flush_1min_1ul,RC19,1
Unknown,GW0711_TrueBlank_end_RA1_rep4_ch2_dry,lcdatapath,lcmethodpath\ChannelB_flush_1min_1ul,RA1,1
Unknown,GW0711_lib_Lib1_RC19_rep4_ch1_dry,lcdatapath,lcmethodpath\ChannelA_flush_1min_1ul,BC10,1
Unknown,GW0711_TrueBlank_end_RA1_rep5_ch2_dry,lcdatapath,lcmethodpath\ChannelB_flush_1min_1ul,RA1,1
Unknown,GW0711_lib_Lib1_BC10_rep5_ch1_dry,lcdatapath,lcmethodpath\ChannelA_flush_1min_1ul,RC9,1
Unknown,GW0711_TrueBlank_end_RA1_rep6_ch2_dry,lcdatapath,lcmethodpath\ChannelB_flush_1min_1ul,RA1,1
Unknown,GW0711_lib_Lib1_RC9_rep6_ch1_dry,lcdatapath,lcmethodpath\ChannelA_flush_1min_1ul,GC6,1
