Bracket Type=4,,,,,
Sample Type,File Name,Path,Instrument Method,Position,Inj Vol
Unknown,drug123_D1t3_blo2_RH21_rep3_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,RM10,1
Unknown,drug123_D2t1_blo2_GG10_rep3_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,RP13,1
Unknown,drug123_D1t1_blo2_RM10_rep4_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,GJ10,1
Unknown,drug123_D1t2_blo2_RP13_rep4_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,GG22,1
Unknown,drug123_D2t1_blo2_GJ10_rep4_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,BP22,1
Unknown,drug123_D2t3_blo2_GG22_rep3_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,RD1,1
Unknown,drug123_D3t3_blo2_BP22_rep3_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,GO23,1
Unknown,drug123_QC_other_RD1_rep4_ch1_msmethod,lc_qc,lc_mp\ChannelA_lcmethodfile,BA1,1
Unknown,drug123_digest_mix_other_GO23_rep4_ch2_msmethod,lc_dm,lc_mp\ChannelB_lcmethodfile,GI4,1
Unknown,drug123_true_blank_other_BA1_rep3_ch1_msmethod,lc_tb,lc_mp\ChannelA_lcmethodfile,GB13,1
Unknown,drug123_D2t0_blo2_GI4_rep4_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,RJ18,1
Unknown,drug123_D2t2_blo2_GB13_rep4_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,GC22,1
Unknown,drug123_D1t3_blo2_RJ18_rep4_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,BM10,1
Unknown,drug123_D2t3_blo2_GC22_rep4_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,BK14,1
Unknown,drug123_D3t1_blo2_BM10_rep4_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,BI21,1
Unknown,drug123_D3t2_blo2_BK14_rep4_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,RN4,1
Unknown,drug123_D3t3_blo2_BI21_rep4_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,GN8,1
Unknown,drug123_D1t0_blo2_RN4_rep4_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,BN2,1
Unknown,drug123_D2t1_blo3_GN8_rep5_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,BK23,1
Unknown,drug123_sys_qc_SysQC_BN2_rep5_ch1_msmethod,lc_sys,lc_mp\ChannelA_lcmethodfile,RA9,1
Unknown,drug123_sys_qc_SysQC_BK23_rep6_ch2_msmethod,lc_sys,lc_mp\ChannelB_lcmethodfile,GO17,1
Unknown,drug123_D1t1_blo3_RA9_rep5_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,GL9,1
Unknown,drug123_D2t2_blo3_GO17_rep5_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,BO17,1
Unknown,drug123_D2t1_blo3_GL9_rep6_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,BG11,1
Unknown,drug123_D3t2_blo3_BO17_rep5_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,GN19,1
Unknown,drug123_D3t1_blo3_BG11_rep5_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,GH17,1
Unknown,drug123_D2t3_blo3_GN19_rep5_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,GN7,1
Unknown,drug123_D2t2_blo3_GH17_rep6_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,BH19,1
Unknown,drug123_D2t0_blo3_GN7_rep5_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,BF22,1
Unknown,drug123_D3t3_blo3_BH19_rep5_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,RB17,1
Unknown,drug123_D3t3_blo3_BF22_rep6_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,RE1,1
Unknown,drug123_D1t2_blo3_RB17_rep5_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,GE24,1
Unknown,drug123_QC_other_RE1_rep5_ch2_msmethod,lc_qc,lc_mp\ChannelB_lcmethodfile,BA1,1
Unknown,drug123_digest_mix_other_GE24_rep5_ch1_msmethod,lc_dm,lc_mp\ChannelA_lcmethodfile,BI11,1
Unknown,drug123_true_blank_other_BA1_rep4_ch2_msmethod,lc_tb,lc_mp\ChannelB_lcmethodfile,BG16,1
Unknown,drug123_D3t1_blo3_BI11_rep6_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,BL3,1
Unknown,drug123_D3t2_blo3_BG16_rep6_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,RG7,1
Unknown,drug123_D3t0_blo3_BL3_rep5_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,RH13,1
Unknown,drug123_D1t0_blo3_RG7_rep5_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,GL19,1
Unknown,drug123_D1t2_blo3_RH13_rep6_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,RJ5,1
