Bracket Type=4,,,,,
Sample Type,File Name,Path,Instrument Method,Position,Inj Vol
Unknown,GW0204_Preblank1,D:\data\Lavender\worklistTest,C:\Xcalibur\methods\XiaoFeng\2029\ChannelA_10m_45k,RP5,1
Unknown,GW0204_Preblank2,D:\data\Lavender\worklistTest,C:\Xcalibur\methods\XiaoFeng\2029\ChannelB_10m_45k,RP7,1
Unknown,GW0204_sysval_SysQC_RP5_rep1_ch1_10m_45k,D:\data\Lavender\worklistTest,C:\Xcalibur\methods\XiaoFeng\2025\ChannelA_10m_45k,GA4,1
Unknown,GW0204_sysval_SysQC_RP7_rep2_ch2_10m_45k,D:\data\Lavender\worklistTest,C:\Xcalibur\methods\XiaoFeng\2026\ChannelB_10m_45k,BF19,1
Unknown,GW0204_QC1_pre_GA4_rep1_ch1_10m_45k,D:\data\Lavender\worklistTest,C:\Xcalibur\methods\XiaoFeng\2025\ChannelA_10m_45k,GH17,1
Unknown,GW0204_qc2_pre_BF19_rep1_ch2_10m_45k,D:\data\Lavender\worklistTest,C:\Xcalibur\methods\XiaoFeng\2027\ChannelB_10m_45k,BN15,1
Unknown,GW0204_DM1_pre_GH17_rep1_ch1_10m_45k,D:\data\Lavender\worklistTest,C:\Xcalibur\methods\XiaoFeng\2028\ChannelA_10m_45k,RB9,1
Unknown,GW0204_dm2_pre_BN15_rep1_ch2_10m_45k,D:\data\Lavender\worklistTest,C:\Xcalibur\methods\XiaoFeng\2028\ChannelB_10m_45k,RB17,1
Unknown,GW0204_lib_pre_RB9_rep1_ch1_10m_45k,D:\data\Lavender\worklistTest,C:\Xcalibur\methods\XiaoFeng\2028\ChannelA_10m_45k,RB5,1
Unknown,GW0204_lib_pre_RB17_rep2_ch2_10m_45k,D:\data\Lavender\worklistTest,C:\Xcalibur\methods\XiaoFeng\2028\ChannelB_10m_45k,RB22,1
Unknown,GW0204_lib_pre_RB5_rep3_ch1_10m_45k,D:\data\Lavender\worklistTest,C:\Xcalibur\methods\XiaoFeng\2028\ChannelA_10m_45k,RB20,1
Unknown,GW0204_lib_pre_RB22_rep4_ch2_10m_45k,D:\data\Lavender\worklistTest,C:\Xcalibur\methods\XiaoFeng\2028\ChannelB_10m_45k,RB21,1
